parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Kahului, HI",HI,place,"Waikapu, HI",990000.0,672.0977596741344,0.07286211929687214,0.07639325707254718
"Providence, RI",MA,place,"Dartmouth, MA",510000.0,349.8542274052478,0.07717395316517117,0.06218802781214783
"Vernal, UT",UT,place,"Vernal, UT",330000.0,199.27536231884056,0.05206491345816011,0.0666715249007872
"McAlester, OK",OK,place,"McAlester, OK",139900.0,104.0,0.10726770586389445,0.09854727792700801
"Atlanta, GA",GA,place,"Statham, GA",369715.0,189.07448640014064,0.1263450502201049,0.10094937833735385
"Atlantic City, NJ",NJ,place,"Linwood, NJ",399900.0,276.9390581717452,0.03481640837360023,0.056526579397472076
"Anchorage, AK",AK,place,"Wasilla, AK",375000.0,235.75757575757572,0.05735280642496021,0.05628993059334797
"Elgin, IL",IL,place,"Sleepy Hollow, IL",450000.0,191.8158567774936,0.06182160089089783,0.06825161748238395
"New Castle, PA",PA,place,"Ellport, PA",215500.0,191.04609929078012,0.07152510801483003,0.09239587536427973
"Nassau County, NY",NY,place,"Gordon Heights, NY",315000.0,,0.06842912653224031,
"Urbana, OH",OH,place,"St. Paris, OH",188500.0,105.41824324612556,0.07465862391191935,0.07194137838396264
"Rochester, NY",NY,place,"Bloomfield, NY",627500.0,346.24436936936934,0.12043788255978738,
"Riverside, CA",CA,place,"Chino, CA",762147.5,388.7745521793804,0.06632469139877206,0.06328192825705692
"San Diego, CA",CA,place,"Rancho Santa Fe, CA",4465000.0,1015.2341973624376,0.06858571141514047,0.0853702138021164
"Reading, PA",PA,place,"Laureldale, PA",185000.0,179.2635658914729,0.11026292374959579,0.13407802415097936
"Eugene, OR",OR,place,"Eugene, OR",490000.0,291.9148936170213,0.08337133386830065,0.07904020239910325
"Grand Rapids, MN",MN,place,"Grand Rapids, MN",213000.0,128.62318840579707,0.029025085469088996,0.07391005942311457
"Worcester, MA",MA,place,"Bolton Ma, MA",841750.0,277.057024581967,0.11054487156718729,0.026823043020523185
"Cincinnati, OH",OH,place,"Fairfield, OH",250000.0,153.14926660914583,0.05912973382034359,0.07938789142391367
"Baltimore, MD",MD,place,"Ilchester, MD",725000.0,247.03557312252968,0.04429696267007621,0.026195803128360895
"Allentown, PA",NJ,place,"Upper Pohatcong, NJ",325000.0,270.83333333333326,0.06280207549290284,0.08768413994867941
"Fort Lauderdale, FL",FL,place,"Davie, FL",662950.0,350.0,0.0755561296059839,0.08458512667683982
"Jackson, MI",MI,place,"Parma, MI",300000.0,194.30051813471505,0.22020763976880908,0.22818766386209743
"Canton, OH",OH,place,"North Industry, OH",246750.0,134.68661715450708,0.0674201660237772,0.06549849669068686
"Fort Worth, TX",TX,place,"Haltom City, TX",230000.0,168.95715440582055,0.09424571100065338,0.1019893290397551
"Moses Lake, WA",WA,place,"Moses Lake, WA",326954.5,230.77874493927123,0.06449818929209572,0.08471435320979381
"Pontiac, IL",IL,place,"Odell, IL",125000.0,95.51951621770205,0.018317940024528356,0.003039563862570871
"Helena, MT",MT,place,"Helena, MT",340000.0,225.2252252252252,0.04102053780696946,0.08762039837305369
"Miami, FL",FL,place,"Doral, FL",780000.0,330.126803672934,0.0690633991544003,0.05246640179881168
"Warren, MI",MI,place,"Brighton, MI",440000.0,208.28598484848484,0.05858401801618962,0.059227345412637744
"New Brunswick, NJ",NJ,place,"Six Mile Run, NJ",380000.0,242.96675191815856,0.06457264936432816,0.07055233428409613
"Dayton, OH",OH,place,"Oakwood, OH",347500.0,179.0296607968417,0.06198255614361292,0.05100139888018207
"Berlin, NH",NH,place,"Whitefield, NH",230000.0,196.9581063039007,0.24847193112378707,0.2432692359712647
"Syracuse, NY",NY,place,"Seneca Knolls, NY",172450.0,178.90873015873015,0.04718495323462846,0.06875813923194474
"Nassau County, NY",NY,place,"East Norwich, NY",1837500.0,462.9556259904913,0.09937092724613494,0.02620026438546552
"Astoria, OR",OR,place,"Warrenton, OR",525000.0,314.74820143884887,0.08769995284732057,0.09404040850313988
"Morehead City, NC",NC,place,"Cedar Point, NC",625000.0,194.61633663366337,0.061529719311271824,0.017381917842555827
"New Brunswick, NJ",NJ,place,"Monmouth Beach, NJ",2647000.0,920.375521557719,0.11007293414276931,0.11874381644406973
"Buffalo, NY",NY,place,"Lockport, NY",183333.0,144.84126984126985,0.05532368858116388,0.08835138390229624
"Orlando, FL",FL,place,"Eustis, FL",269000.0,205.99250936329588,0.07973948694475963,0.11657787813143572
"Oakland, CA",CA,place,"San Lorenzo, CA",856000.0,633.1747919143876,0.07508441662666177,0.066873268085613
"Cleveland, OH",OH,place,"Fairport Harbor, OH",86000.0,44.93207941483804,0.11143156389923492,0.009577448792147614
"Rochester, NY",NY,place,"Hamlin, NY",190500.0,148.7459708365311,0.08928367792382219,0.07630237626957892
"Lexington, KY",KY,place,"Lexington-Fayette, KY",327500.0,172.7102158029582,0.07561146250683315,0.06850003211279465
"Little Rock, AR",AR,place,"Maumelle, AR",322500.0,152.74135393041502,0.046863252252276055,0.04099609355849987
"Hillsdale, MI",MI,place,"Reading, MI",124000.0,84.58390177353343,0.09507828735885715,0.09566553604475936
"Salem, OR",OR,place,"Independence, OR",422500.0,220.88440444758808,0.13064990496658413,0.09419362070032977
"Atlantic City, NJ",NJ,place,"Pleasantville, NJ",225000.0,149.5448634590377,0.0648786680336062,0.059331401588954114
"Birmingham, AL",AL,place,"Moody, AL",240000.0,173.66136034732273,0.05820921376217458,0.07448078291396398
"Washington, DC",MD,place,"Colmar Manor, MD",480000.0,410.25641025641033,0.08880156800512817,0.0692398424016405
"Minneapolis, MN",MN,place,"Waterville, MN",216500.0,139.31788931788932,0.04198291956461486,0.04988782616193066
"Minneapolis, MN",MN,place,"Farmington, MN",411205.0,199.40179461615156,0.059362610386421544,0.0662375579131862
"New Brunswick, NJ",NJ,place,"North Plainfield, NJ",442500.0,331.0810810810811,0.06997363311795057,0.09135814267071884
"Modesto, CA",CA,place,"Parklawn, CA",235000.0,174.33234421364986,0.15217726307227242,0.10205098149926184
"Detroit, MI",MI,place,"Plymouth, MI",540000.0,273.2793522267207,0.08447177119769855,0.0574825425353116
"Cincinnati, OH",OH,place,"Blue Ash, OH",550000.0,232.63888888888889,0.06073350022743318,0.08328530342326079
"Riverside, CA",CA,place,"San Jacinto, CA",468562.5,243.40683443076853,0.09446377760693836,0.09990369818679712
"Grand Rapids, MI",MI,place,"Portland, MI",187500.0,149.76423507741004,0.04563955259127317,0.08718646268314889
"Sioux Falls, SD",SD,place,"Canistota, SD",310000.0,172.22222222222223,0.16044981968467065,0.1400902956854606
"Buffalo, NY",NY,place,"Holland, NY",116300.0,80.5252122471521,-0.0291588345940762,-0.008876678412502725
"Minneapolis, MN",MN,place,"Brooklyn Park, MN",326000.0,159.13430935709738,0.06267857389771803,0.05448767115272979
"Fort Worth, TX",TX,place,"Rendon, TX",310000.0,169.12165848336062,0.016577737211541876,0.0665101998572879
"Columbus, OH",OH,place,"Obetz, OH",374900.0,191.30154639175257,0.16107516270941225,0.13007030808104458
"Asheville, NC",NC,place,"Marshall, NC",1002500.0,379.9817097991981,0.21289202026523601,0.1766542429316733
"St. Louis, MO",IL,place,"Marine, IL",145000.0,106.5934065934066,0.017421280529461347,-0.002164723743900643
"Buffalo, NY",NY,place,"North Boston, NY",267500.0,109.98307952622672,0.03425836449921538,-0.01446417856117721
"York, PA",PA,place,"Weigelstown, PA",260000.0,155.82710668327107,0.0658175333641009,0.0839059535154294
"Akron, OH",OH,place,"Munroe Falls, OH",305000.0,174.03486924034868,0.10939858696846172,0.07524419909858171
"Ogden, UT",UT,place,"Riverdale, UT",403000.0,192.73127753303964,0.10062064845934549,0.10092019345055658
"Wilmington, DE",MD,place,"Rising Sun, MD",183000.0,173.29545454545453,0.01839937614702425,0.08987640851665724
"Poughkeepsie, NY",NY,place,"Highlands, NY",434000.0,271.67996176771925,0.10562859025336002,0.09443163596385595
