total_population,median_home_value,median_gross_rent,state,zip_code
44789,292900,74962,25,02703
49,666700,-666666666,25,02713
3893,363500,101216,25,02715
4917,352500,85139,25,02717
6394,286600,93184,25,02718
16045,281000,67394,25,02719
30160,240900,51790,25,02720
25978,248000,40173,25,02721
15066,232200,40318,25,02723
17769,241800,39942,25,02724
2487,274100,87458,25,02725
15678,279900,83346,25,02726
5132,483500,81928,25,02738
6336,469900,94360,25,02739
43454,220200,42314,25,02740
10529,296000,80221,25,02743
11170,227200,44252,25,02744
24993,235200,61267,25,02745
15417,214800,35018,25,02746
22947,347800,82963,25,02747
11607,383500,87326,25,02748
27474,347900,90558,25,02760
9183,337700,96066,25,02762
1706,413600,126339,25,02763
3837,343400,79725,25,02764
19745,351600,111042,25,02766
14488,353100,101826,25,02767
12173,400800,116585,25,02769
5407,411300,103459,25,02770
15441,339300,90078,25,02771
16567,288700,86637,25,02777
6730,347500,103182,25,02779
50438,268600,58546,25,02780
15793,358800,80430,25,02790
402,684100,68913,25,02791
723,191700,69321,44,02802
1849,230100,108672,44,02804
16153,432800,125125,44,02806
916,1037000,59423,44,02807
2312,240000,74500,44,02808
22172,338600,72422,44,02809
1207,323400,113221,44,02812
7799,330700,78209,44,02813
7901,282300,89531,44,02814
367,312500,194450,44,02815
32738,236300,72471,44,02816
6224,343700,119688,44,02817
18292,395100,102621,44,02818
6304,335000,83024,44,02822
5768,298400,87829,44,02825
418,309900,91964,44,02826
2202,287000,82946,44,02827
7592,285100,86772,44,02828
6255,286200,84970,44,02830
3277,292600,95000,44,02831
4795,284100,80128,44,02832
1141,243000,88902,44,02833
5494,656800,111110,44,02835
150,-666666666,-666666666,44,02836
3489,517900,89353,44,02837
3495,251700,62697,44,02838
2098,216200,68258,44,02839
23112,448800,66805,44,02840
1633,-666666666,-666666666,44,02841
15936,379100,74022,44,02842
22048,329600,86625,44,02852
8206,333200,96004,44,02857
774,231600,-666666666,44,02858
7070,237100,87363,44,02859
46363,191300,43586,44,02860
25622,197800,64833,44,02861
19411,160100,32928,44,02863
34797,288200,91806,44,02864
17667,330200,92742,44,02865
17119,387400,102392,44,02871
244,289700,-666666666,44,02872
200,345700,108750,44,02873
6045,457600,135514,44,02874
466,288500,160278,44,02875
353,-666666666,-666666666,44,02876
15774,277500,75295,44,02878
20610,371500,89288,44,02879
7629,353000,79111,44,02881
14029,455400,83600,44,02882
10461,295900,60486,44,02885
28776,235600,69646,44,02886
18687,215400,75011,44,02888
27807,214200,77783,44,02889
21143,310900,70358,44,02891
5611,327500,111895,44,02892
29143,205900,55106,44,02893
517,205700,70587,44,02894
41603,173300,42595,44,02895
12060,292600,80885,44,02896
1289,266200,77917,44,02898
10979,325500,36347,44,02903
30613,207600,44269,44,02904
26174,207500,47942,44,02905
27825,412100,85270,44,02906
31294,180300,39877,44,02907
36314,184100,51981,44,02908
40809,173900,42041,44,02909
22387,200700,73717,44,02910
15921,212800,60902,44,02911
1340,-666666666,-666666666,44,02912
21487,212500,51199,44,02914
16660,221600,64495,44,02915
9238,243900,80701,44,02916
14139,291200,83516,44,02917
29307,231400,65125,44,02919
37165,243700,63523,44,02920
12243,361200,102917,44,02921
11475,354000,139421,33,03031
5446,332000,115089,33,03032
5348,329100,141875,33,03033
4046,283400,100904,33,03034
5129,352400,139688,33,03036
4366,304000,108173,33,03037
33643,244900,75792,33,03038
6966,283900,76071,33,03042
1577,289400,99688,33,03043
4659,275500,110344,33,03044
13621,266900,90173,33,03045
2827,317600,121500,33,03046
